,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
30,"RT @BelalNadeemJMI: Under BJP's watch, a Dalit suffers an attrocity every 12 minutes and six Dalits women were rape everyday say a data fro…",2019-04-26 06:42:14,,,454,Negative,-0.4,444,
31,"RT @BelalNadeemJMI: Under BJP's watch, a Dalit suffers an attrocity every 12 minutes and six Dalits women were rape everyday say a data fro…",2019-04-26 06:41:56,,,162,Negative,-0.4,11,"New Delhi, India"
32,"RT @BelalNadeemJMI: Under BJP's watch, a Dalit suffers an attrocity every 12 minutes and six Dalits women were rape everyday say a data fro…",2019-04-26 06:41:38,,,114,Negative,-0.4,2,
33,"Under BJP's watch, a Dalit suffers an attrocity every 12 minutes and six Dalits women were rape everyday say a data… https://t.co/VXLpdz3b1i",2019-04-26 06:38:02,,,554,Negative,-0.4,78,"Jamia Nagar, New Delhi"
34,"RT @AbdulWahidSait: #BJPManifesto 2014:

1. RAM MANDIR
2. 33% RESERVATION TO WOMEN
3. Remove 370
4. 2 CRORE JOBS

#BJPManifesto 2019 :

1.…",2019-04-26 00:55:44,,,308,Neutral,0.0,17,"पश्चिम बंगाल, भारत"
35,"RT @dhruv_rathee: One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir
1998: Ram Mandir
20…",2019-04-25 18:52:28,,,9219,Negative,-0.28,4,
36,RT @rtiactivist: @tVoiceOfCitizen @INCIndia Congress has come down to a stage where they only want to rule the party from within the family…,2019-04-25 17:44:08,,,452,Negative,-0.08,254,INDIA
37,"RT @RailPostIN: Manifesto Mania: @INCIndia &amp; @BJP4India Promises for Railways in #1LokSabha2019 

We take a look.

#BJPSankalpPatr2019 
#BJ…",2019-04-25 16:52:34,,,18,Neutral,0.0,270,India
38,"RT @PvkInfotainment: #Modi wave becomes #modi Tsunami at #Varanasi 

@BJP4India gains momentum before rest of elections with big gathering…",2019-04-25 16:39:00,,,138,Neutral,0.0,1,"Madurai South, India"
39,"#Modi wave becomes #modi Tsunami at #Varanasi 

@BJP4India gains momentum before rest of elections with big gatheri… https://t.co/DoH4NDLDwQ",2019-04-25 16:34:00,,,1068,Neutral,0.0,95,"Chennai, India"
40,Learn more about what national political parties promise to do for education through their party manifestos in the… https://t.co/GIha5sLe84,2019-04-25 13:47:28,,,361,Positive,0.25,323,Pune
41,RT @netas_r_corrupt: #BattleOf2019 #BJPManifesto #BJP_भगाओ_देश_बचाओ #modi #ModiMeter #BJP #भाजपा #भाजपा_भगाओ_देश_बचाओ #मोदी_भगाओ_देश_बचाओ #…,2019-04-25 12:24:53,,,6652,Neutral,0.0,558,
42,"RT @chtajsharief: #evm #Election2019
Congress Simble Button not working in J&amp;K Poonch @INCIndia @BJP4India @ZeeNews @aajtak @jkpdp @JKNC_…",2019-04-25 12:18:45,,,335,Neutral,0.0,13,
43,"RT @cskkanu: @RenukaJain6 @narendramodi Change your #BjpManifesto and include #MensCommission and #Scrap498A 

We will give you lakhs of vo…",2019-04-25 11:26:51,,,5995,Neutral,0.0,360,"Mumbai, India"
44,RT @sanket: #CongManifesto and #BJPManifesto must not turn out like this. https://t.co/qmL8eKT1U8,2019-04-25 11:14:35,,,763,Neutral,0.0,459,M/S Medirain Medicare shop no
45,RT @netas_r_corrupt: #BattleOf2019 #BJPManifesto #BJP_भगाओ_देश_बचाओ #modi #ModiMeter #BJP #भाजपा #भाजपा_भगाओ_देश_बचाओ #मोदी_भगाओ_देश_बचाओ #…,2019-04-25 10:41:50,,,2646,Neutral,0.0,670,
46,"RT @RohitBarik19: Vote for better India😍 
#NamoAgain 🙏🇮🇳
#pmmoditohindustan 
#NarendraModi 
#BJPManifesto https://t.co/JWU0I0AR5S",2019-04-25 06:38:36,,,12,Highly Positive,0.5,11,
47,RT @rtiactivist: @tVoiceOfCitizen @INCIndia Congress has come down to a stage where they only want to rule the party from within the family…,2019-04-25 05:25:05,,,106,Negative,-0.08,3,
48,"A genuine post from LinkedIn. We have a great leader in charge of our country, one who has no other goal than takin… https://t.co/rHRdUuVj0l",2019-04-25 04:44:31,,,6064,Positive,0.42,147,"New Delhi, India"
49,"RT @KHANNANAGARAJU: Massive Investment in #agriculture 
Pension for Small #Farmers 
#BJPManifesto https://t.co/v8IgxT05aF",2019-04-25 04:15:10,,,7057,Negative,-0.12,223,
50,"#BJPManifesto

PM Modi in an interview to Akshay Kumar: I used hot coal in a 'lota' to iron my clothes… https://t.co/5X5iq3R4VI",2019-04-25 03:56:12,,,7293,Positive,0.25,315,
51,"#BJPManifesto

Thousands gather to welcome Modi in Ranchi
https://t.co/ampFgUzgfF via NaMo App https://t.co/w64HmqRrk9",2019-04-25 03:54:54,,,7293,Highly Positive,0.8,315,
52,"#BJPManifesto

PM Modi Says Opposition Having Sleepless Nights as BJP Wave Grows
https://t.co/9ydJSMNbqw

via NaMo… https://t.co/7mlzc0FRJ3",2019-04-25 03:52:44,,,7293,Neutral,0.0,315,
53,"#BJPManifesto

In interview to Akshay Kumar, PM Modi reveals Obama’s advice to him
https://t.co/pbhhNamesG

via NaM… https://t.co/oXdHavBDSL",2019-04-25 03:52:02,,,7293,Neutral,0.0,315,
54,"RT @VeerHercules: @BJP4India @AmitShah @narendramodi sir , If the political parties have no place for men's rights in their manifestos, the…",2019-04-25 03:50:46,,,3702,Neutral,0.0,244,"Kalyan Dombivali, India"
55,"RT @GogaChauhanAdv: Terrorist @myogiadityanath said #IndianArmy is @narendramodi Army. @BJP4India treats #IndianArmy like @RSSorg 
#abinand…",2019-04-25 03:27:29,,,221,Neutral,0.0,13,
56,The #BJPManifesto is full of glib promises | analysis | Hindustan Times #NOTA https://t.co/rehXWrrFZY,2019-04-25 01:57:03,,,1276,Positive,0.35,66,
57,@BlrTarun @MrsGandhi @narendramodi @RajThackeray @Dev_Fadnavis Raj is doing duty towards the nation while khaki cha… https://t.co/eikk24pKmu,2019-04-24 18:57:55,,,119,Neutral,0.0,37,
58,"Even hoisting our own Indian flag became a tough task in J&amp;K.
This is why #BJP working hard to remove Article 370.… https://t.co/u6LYFmOZuX",2019-04-24 18:46:20,,,8492,Negative,-0.03,110,"Hyderabad, India"
59,@tVoiceOfCitizen @INCIndia Congress has come down to a stage where they only want to rule the party from within the… https://t.co/odamln38GK,2019-04-24 18:42:43,,,452,Negative,-0.08,254,INDIA
60,@ANI #Hitler #MamataBanerjee #BJPManifesto bjp doesn't stand for steel body 😒🙃😕😂,2019-04-24 18:35:16,,,6129,Neutral,0.0,477,"New Delhi, India"
61,"RT @kakuyash: https://t.co/CbUM0TNX3U

must watch makes valid point

#BharatKaGarvModi 
#BJPManifesto 
#Congress 
#IndianElections2019",2019-04-24 18:02:17,,,85,Neutral,0.0,9,
62,"Is anyone talking about Bullet Train? I think it left the platform for good. 
#LokSabhaElections2019 
#BJPManifesto 
#BJP",2019-04-24 17:51:33,,,2925,Positive,0.35,184,India
63,#mcx #comex #BJPManifesto #ModiWithAkshay tips targets achieved https://t.co/FHIVhF9IGo,2019-04-24 17:26:22,,,3,Neutral,0.0,1201,India
64,"#2019LokSabhaElections #LokSabhaElections2019
#BJPManifesto #BJP #Ghazipur 
#Manojsinha #Modi… https://t.co/1VessagJnJ",2019-04-24 16:33:55,,,5313,Neutral,0.0,457,Ghazipur / Noida
65,#ModiWithAkshay super interview but in last 5 year you didn't give like this interviews in #TVShow Mr #Chowkidar… https://t.co/tZEi1JA7Kq,2019-04-24 16:16:47,,,4747,Positive,0.17,19,"Tamil Nadu, India"
66,#NDTV #ModiWithAkshay NDTV don’t know how to write Banaras &amp; talkings about who will get more vote share &amp; advocacy… https://t.co/GMTlj6llpJ,2019-04-24 16:15:04,,,36,Highly Positive,0.5,14,Mumbai
