,text,created_date,latitude,longitude,retweet,polarity,pol_value
34,"RT @squintneon: If you want one BJP candidate &amp; one non BJP candidate to win... who it would be

For me

BJP Candidate- Smriti Irani(Amethi…",2019-04-28 01:01:07,,,674,Highly Positive,0.8
35,RT @GoSlowplz: Sakshi Maharaj forced girl to remove jeans!! BJP hatao Desh bachao https://t.co/T1Z91j4JxB,2019-04-28 01:01:02,,,319,Negative,-0.47
36,"@waglenikhil @BadmashJimmy BJP is an association of brahmins , which comprises of upper caste Hindus.  They are con… https://t.co/5dxI7wNWpy",2019-04-28 01:00:56,72.74484, 18.845343,0,Neutral,0.0
37,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 01:00:55,,,2204,Neutral,0.0
38,"RT @rishibagree: Excellent Meeting with @Sunil_Deodhar ,the man who single-handedly delivered Tripura to BJP. Sent by BJP President Amit Sh…",2019-04-28 01:00:53,,,644,Highly Positive,1.0
39,RT @raghawendra_t: Siksha Mitra could be the big hurdle in 2019 for BJP @BJP4India @narendramodi # once the Govt should rethink over it,2019-04-28 01:00:53,,,2,Neutral,0.0
40,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 01:00:53,,,2197,Positive,0.48
41,"RT @kunalkamra88: Pick the most successful scheme by the BJP govt in the past term : -

Swach Bharat. Skill India. Make in India. Deen Daya…",2019-04-28 01:00:48,,,894,Positive,0.33
42,"RT @IndianInterest: This dinosaur is clear about two things:

1. BJP's victory in the 2019 elections is a foregone conclusion. Modi will wi…",2019-04-28 01:00:36,,,636,Positive,0.1
43,"RT @rammadhavbjp: Young party workers accompanied me on bikes in large numbers in one of the most terrorism-affected parts of Kashmir, Anan…",2019-04-28 01:00:36,,,885,Positive,0.27
44,@republic it might be true ..from last 5 years he said many things about bjp. someone ask him was it slip of tongue too?,2019-04-28 01:00:36,,,0,Positive,0.28
