,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,@raghuveer1bjp @narendramodi Salute Muslim people's of vanaras,2019-04-28 07:30:34,72.529616, 23.088656,11720,Neutral,0.0,2614,"Ahmadabad City, India"
1,"@narendramodi @NitishKumar @begusaraibjp @r007awasthi @AmitShah @AbvpBegusarai 
Vote For BJP ON 29-04-2019 Tomorrow… https://t.co/FSL7ibmigR",2019-04-28 07:28:11,86.11428, 25.403266,770,Neutral,0.0,136,"Begusarai,India"
2,"@svaradarajan @awake1975 ,All surprises! TOI finds huge benefits due to DeMon! Not bad! N @sardesairajdeep apologis… https://t.co/FGudz45h6Y",2019-04-28 07:27:16,78.3897718, 17.3013989,11375,Positive,0.23,55,
3,"@BhavanBadrinath to @narendramodi G ,We need to win.atleast 85 seats in tomorrow polling .Our Karyalartas should ca… https://t.co/MbQpqmcH8n",2019-04-28 07:24:50,80.056161, 12.850328,410,Neutral,0.0,105,Chennai.
4,"@RanjanGogoiCJI Your Compitency why flying like 

#4Human. 
Your #Article-32 why #Slave 
#JusticeMatter 
#icc… https://t.co/JtNDSQOXeI",2019-04-28 07:24:38,76.84252, 28.397657,2296,Neutral,0.0,830,
5,"@sureshrajasekar @narendramodi @CMOTamilNadu https://t.co/QgEMU3zWJI
Just take look on this video.
Do you know tami… https://t.co/zt19vpxRem",2019-04-28 07:24:01,80.183081, 12.965942,14885,Neutral,0.0,947,chennai
6,@JS_Bishnoi @BJP4India @narendramodi @BJP4Rajasthan @gssjodhpur @AmitShah @VasundharaBJP Only BJP,2019-04-28 07:23:14,69.484366, 23.060464,616,Neutral,0.0,40,"Phalodi, India"
7,"@narendramodi , @CommissionIndia can my daughter  working in USA  caste her vote online ?? She is H-1B visa holder… https://t.co/W1pxBylwxK",2019-04-28 07:23:00,72.74484, 18.845343,1347,Neutral,0.0,444,"Mumbai , India"
8,"@awake1975 #PMPost .2, Woman leader! Yes. Hard working ? Yes. Clear in thought! No. Sabka saath? What's that? Corru… https://t.co/m9Mf7xaCGs",2019-04-28 07:19:42,78.3897718, 17.3013989,11375,Negative,-0.08,55,
9,"I am sorry, but this picture of @ShashiTharoor.. ....... (as you wish...)

@narendramodi @aajtak @Swamy39 @republic… https://t.co/B7sJblLw0z",2019-04-28 07:19:18,77.096236, 23.871941,2725,Highly Negative,-0.5,397,
10,@dc2727 @RahulGandhi @BJP4India @BJP4UP @BJP4Amethi @narendramodi @myogiadityanath @AmitShah @Swamy39 What was he doing in Berlin?,2019-04-28 07:19:04,-83.214001, 42.620953,1919,Neutral,0.0,49,"Michigan, USA"
11,@NewsroomPostCom @ashokgehlot51 @narendramodi @BJP4India We may not like Some of BJP actions. But India Hates the S… https://t.co/3OctgexGL0,2019-04-28 07:18:25,77.096236, 23.871941,189,Neutral,0.0,1103,"New Delhi, India"
12,"@narendramodi 
Parliamentary Committee on subordinate legislation in their wisdom recommended one last option for P… https://t.co/imIFL2FEgQ",2019-04-28 07:15:11,78.426176, 17.234568,4,Neutral,0.0,2,"Hyderabad, Andhra Pradesh"
13,Must watch #phirekbaarmodisarkaar #modifor2019 #modiforindia #modiforindia #modi #bjp #mebhichowkidar @narendramodi… https://t.co/3fsu3aftb9,2019-04-28 07:13:33,77.3305776, 12.731936,43,Neutral,0.0,10,
14,@bhupendrachaube @narendramodi Did you even visit the ST community living there? which have been given separate liv… https://t.co/7xkrGD7nnD,2019-04-28 07:13:31,76.84252, 28.397657,837,Neutral,0.0,3255,New Delhi/Kanpur
